Interval_stimulus,Participant,RT,Session,date,key_resp.keys,key_resp.rt,Trial
5.862147718,AM88807,0.289285,2,2020-06-16_14h30.00.691,,,34
5.156499194,AM88807,0.2517,2,2020-06-16_14h30.00.691,,,35
4.647993481,AM88807,0.26753,2,2020-06-16_14h30.00.691,,,36
8.809389124,AM88807,0.272755,2,2020-06-16_14h30.00.691,,,37
6.069797953,AM88807,0.28933,2,2020-06-16_14h30.00.691,,,38
7.128571065,AM88807,0.337235,2,2020-06-16_14h30.00.691,,,39
5.33901689,AN53617,0.275,1,2020-06-16_16h36.50.018,,,0
5.103457993,AN53617,0.242,1,2020-06-16_16h36.50.018,,,1
7.328839961,AN53617,0.243,1,2020-06-16_16h36.50.018,,,2
3.551008416,AN53617,0.243,1,2020-06-16_16h36.50.018,,,3
6.780599609,AN53617,0.226,1,2020-06-16_16h36.50.018,,,4
7.691846774,AN53617,0.224,1,2020-06-16_16h36.50.018,,,5
2.221011863,AN53617,0.278,1,2020-06-16_16h36.50.018,"[""equal""]",[1.0630000000000024],6
4.926977181,AN53617,0.223,1,2020-06-16_16h36.50.018,,,7
4.00084288,AN53617,0.255,1,2020-06-16_16h36.50.018,,,8
3.544228468,AN53617,0.257,1,2020-06-16_16h36.50.018,,,9
3.875758762,AN53617,0.208,1,2020-06-16_16h36.50.018,,,10
9.656000007,AN53617,0.242,1,2020-06-16_16h36.50.018,,,11
6.194854726,AN53617,0.231,1,2020-06-16_16h36.50.018,,,12
5.162181314,AN53617,0.228,1,2020-06-16_16h36.50.018,,,13
3.340030427,AN53617,0.243,1,2020-06-16_16h36.50.018,,,14
2.923969183,AN53617,0.258,1,2020-06-16_16h36.50.018,,,15
5.237608637,AN53617,0.241,1,2020-06-16_16h36.50.018,,,16
7.563635924,AN53617,0.257,1,2020-06-16_16h36.50.018,,,17
8.935545529,AN53617,0.257,1,2020-06-16_16h36.50.018,,,18
5.693995599,AN53617,0.252,1,2020-06-16_16h36.50.018,,,19
2.405657354,AN53617,0.268,1,2020-06-16_16h36.50.018,,,20
9.672627177,AN53617,0.418,1,2020-06-16_16h36.50.018,,,21
8.95329682,AN53617,0.221,1,2020-06-16_16h36.50.018,,,22
8.402001379,AN53617,0.217,1,2020-06-16_16h36.50.018,,,23
8.494877488,AN53617,0.202,1,2020-06-16_16h36.50.018,,,24
6.974773636,AN53617,0.219,1,2020-06-16_16h36.50.018,,,25
6.010206248,AN53617,0.201,1,2020-06-16_16h36.50.018,,,26
8.246188868,AN53617,0.234,1,2020-06-16_16h36.50.018,"[""space""]",[5.054000000000002],27
4.326215402,AN53617,0.217,1,2020-06-16_16h36.50.018,,,28
6.747441618,AN53617,0.202,1,2020-06-16_16h36.50.018,,,29
7.925376917,AN53617,0.25,1,2020-06-16_16h36.50.018,,,30
4.460133108,AN53617,0.35,1,2020-06-16_16h36.50.018,,,31
5.984965019,AN53617,0.214,1,2020-06-16_16h36.50.018,,,32
2.399517118,AN53617,0.227,1,2020-06-16_16h36.50.018,,,33
2.624588477,AN53617,0.032,1,2020-06-16_16h36.50.018,,,34
5.065179316,AN53617,0.2,1,2020-06-16_16h36.50.018,,,35
